"InvoiceId","CustomerId","InvoiceDate","BillingAddress","BillingCity","BillingState","BillingCountry","BillingPostalCode","Total"
1,2,"2021-01-01","Theodor-Heuss-Straße 34","Stuttgart",NULL,"Germany","70174",1.98
2,4,"2021-01-02","Ullevålsveien 14","Oslo",NULL,"Norway","0171",3.96
3,8,"2021-01-03","Grétrystraat 63","Brussels",NULL,"Belgium","1000",5.94
4,14,"2021-01-06","8210 111 ST NW","Edmonton","AB","Canada","T6G 2C7",8.91
5,23,"2021-01-11","69 Salem Street","Boston","MA","USA","2113",13.86
6,37,"2021-01-19","Berger Straße 10","Frankfurt",NULL,"Germany","60316",0.99
7,38,"2021-02-01","Barbarossastraße 19","Berlin",NULL,"Germany","10779",1.98
8,40,"2021-02-01","8, Rue Hanovre","Paris",NULL,"France","75002",1.98
9,42,"2021-02-02","9, Place Louis Barthou","Bordeaux",NULL,"France","33000",3.96
10,46,"2021-02-03","3 Chatham Street","Dublin","Dublin","Ireland",NULL,5.94
